id,titulo,anio,editorial_institucion,tipo_doc,pais,departamento,nombre_revista_compilacion,numero_revista,autor,ciudad,temas,url,obs,img,file_img
79,Santa Cruz: economía y poder 19952-1993,2004,PIEB,reseña,Bolivia,La Paz,T'inkazos,17,Lacombe Z.,Santa Cruz,"economía,política",http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_17.pdf,,https://labtecnosocial.org/explora-bib/urbana/79.jpeg,79.jpeg
80,Los indígenas olvidados. Los guaraí-chiriguanos urbanos y periurbanos en Santa Cruz de la Sierra,2004,PIEB,reseña,Bolivia,La Paz,T'inkazos,17,Hirsch S.,Santa Cruz,"indígenas urbanos,desigualdad",http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_17.pdf,,https://labtecnosocial.org/explora-bib/urbana/80.jpeg,80.jpeg
81,La permamente construcción de lo cruceño. Un estudio sobre la identidad en Santa Cruz de la Sierra,2004,PIEB,reseña,Bolivia,La Paz,T'inkazos,17,Lacombe Z.,Santa Cruz,identidad,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_17.pdf,,https://labtecnosocial.org/explora-bib/urbana/81.jpeg,81.jpeg
82,Salud sexual y salud reproductiva en adolescentes callejeras,2004,IDIS - UMSA,articulo de investigación,Bolivia,La Paz,Temas Sociales,25,Moreno Valdivia A.,El Alto,"juventud,salud sexual",https://repositorio.umsa.bo/handle/123456789/16235,,https://labtecnosocial.org/explora-bib/urbana/82.png,82.png
83,Levantamiento de la ciudad aymara de El Alto y caída del gobierno de Sánchez de Lozada,2004,IDIS - UMSA,ensayo,Bolivia,La Paz,Temas Sociales,25,Mamani P.,El Alto,movimientos sociales,https://repositorio.umsa.bo/handle/123456789/16235,,https://labtecnosocial.org/explora-bib/urbana/83.png,83.png
84,Imaginario urbano y construcción nacional en Bolivia,2004,Siglo XXI Editores,ensayo,Argentina,,Las ciudades latinoamericanas en el nuevo [des]orden mundial,,Sanjines J.,Urbanización boliviana,imaginarios urbanos,"https://books.google.com.bo/books?hl=es&lr=&id=mH_GrMnVnK8C&oi=fnd&pg=PA201&dq=urbano,+bolivia&ots=o_Fn7NzCQ-&sig=uC6d1uctLzF60egTePOQuPIeceY#v=onepage&q=urbano%2C%20bolivia&f=false",,https://labtecnosocial.org/explora-bib/urbana/84.jpeg,84.jpeg
85,"Sueños y cambios. Cultura, gestión organizacional y desarrollo local en la ciudad de Cochabamba (Ramirez Soruco A.)",2005,CESU - UMSS,reseña,Bolivia,Cochabamba,Decursos,13,Soto G.,Cochabamba,organización socioespacial,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/85.jpeg,85.jpeg
86,Microgobiernos barriales. Levantamientos de la ciudad de El Alto (Octubre 2003),2005,IDIS - UMSA,libro,Bolivia,La Paz,,,Mamani P.,El Alto,"movimientos sociales,barrios populares",https://jichha.blogspot.com/2019/02/microgobiernos-barriales-levantamientos.html,,https://labtecnosocial.org/explora-bib/urbana/86.jpeg,86.jpeg
87,Región Cochabamba,2005,"PIEB,CESU,DICyT - UMSS,Asdi/SAREC",ensayo,Bolivia,La Paz,Estados de la investigación: Cochabamba,,"Gordillo J.,Garrido J.",Cochabamba,organización socioespacial,https://books.google.com.bo/books?id=dH8NkQu8vHAC&printsec=frontcover&hl=es&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,https://labtecnosocial.org/explora-bib/urbana/87.jpeg,87.jpeg
88,Cultura e interculturalidad,2005,"PIEB,CESU,DICyT - UMSS,Asdi/SAREC",ensayo,Bolivia,La Paz,Estados de la investigación: Cochabamba,,"Ramirez A.,Sanchez W.",Cochabamba,cultura,https://books.google.com.bo/books?id=dH8NkQu8vHAC&printsec=frontcover&hl=es&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,https://labtecnosocial.org/explora-bib/urbana/88.jpeg,88.jpeg
89,"Recursos naturales, Estado y sociedad",2005,"PIEB,CESU,DICyT - UMSS,Asdi/SAREC",ensayo,Bolivia,La Paz,Estados de la investigación: Cochabamba,,Regalsky P.,Cochabamba,recursos naturales,https://books.google.com.bo/books?id=dH8NkQu8vHAC&printsec=frontcover&hl=es&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,https://labtecnosocial.org/explora-bib/urbana/89.jpeg,89.jpeg
90,"Políticas sociales: Salud, educación y vivienda",2005,"PIEB,CESU,DICyT - UMSS,Asdi/SAREC",ensayo,Bolivia,La Paz,Estados de la investigación: Cochabamba,,"Cruz R.,Quintanilla R.,Salomon G.",Cochabamba,"salud,vivienda,educación",https://books.google.com.bo/books?id=dH8NkQu8vHAC&printsec=frontcover&hl=es&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,https://labtecnosocial.org/explora-bib/urbana/90.jpeg,90.jpeg
91,"Democracia, partidos políticos y actores sociales",2005,"PIEB,CESU,DICyT - UMSS,Asdi/SAREC",ensayo,Bolivia,La Paz,Estados de la investigación: Cochabamba,,Crespo C.,Cochabamba,"política,movimientos sociales",https://books.google.com.bo/books?id=dH8NkQu8vHAC&printsec=frontcover&hl=es&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,https://labtecnosocial.org/explora-bib/urbana/91.jpeg,91.jpeg
92,Gestión Local,2005,"PIEB,CESU,DICyT - UMSS,Asdi/SAREC",ensayo,Bolivia,La Paz,Estados de la investigación: Cochabamba,,Vargas G.,Cochabamba,gestión municipal,https://books.google.com.bo/books?id=dH8NkQu8vHAC&printsec=frontcover&hl=es&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,https://labtecnosocial.org/explora-bib/urbana/92.jpeg,92.jpeg
93,Ser joven en El Alto. Rupturas y continuidades en la tradición cultural,2005,PIEB,reseña,Bolivia,La Paz,T'inkazos,18,Perez L.,El Alto,"juventud,identidad,etnicidad",http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_18.pdf,,https://labtecnosocial.org/explora-bib/urbana/93.jpeg,93.jpeg
94,La Rebelión Aymara y Popular de Octubre de 2003: Una Apriximación desde algunos barrios paceños,2005,IDIS - UMSA,ensayo,Bolivia,La Paz,Temas Sociales,26,Ticona E.,El Alto,"barrios populares,movimientos sociales",https://repositorio.umsa.bo/handle/123456789/16251,,https://labtecnosocial.org/explora-bib/urbana/94.png,94.png
95,Jailones. En torno a la identidad cultural de los jóvenes de la élite paceña,2006,PIEB,libro,Bolivia,La Paz,,,"Lopez A.,Jemio Peralta R.,Chuquimia Velez E.",La Paz,"élites,identidad",http://www.pieb.com.bo/2016/BPIEB/BPIEB_12_44_Jailones.pdf,,https://labtecnosocial.org/explora-bib/urbana/95.jpeg,95.jpeg
96,Se necesita empleada doméstica de preferencia Cholita. Representaciones sociales de la trabajadora del hogar asalariada en Sucre,2006,PIEB,libro,Bolivia,La Paz,,,"Peñaranda K.,Flores X.,Arandia A.",Sucre,imaginarios urbanos,https://www.academia.edu/44305548/Se_necesita_empleada_dom%C3%A9stica_De_preferencia_cholita_Representaciones_sociales_de_la_trabajadora_del_hogar_asalariada_en_Sucre,,https://labtecnosocial.org/explora-bib/urbana/96.jpeg,96.jpeg
97,Jóvenes.com Internet en los barrios populares de Cochabamba,2006,PIEB,libro,Bolivia,La Paz,,,"Arratia O.,Uberhuanga P.,Garcia M.",Cochabamba,"internet,tecnología",https://www.academia.edu/44305761,,https://labtecnosocial.org/explora-bib/urbana/97.png,97.png
98,La noche es joven. Territorios juveniles en el centro paceño,2006,PIEB,libro,Bolivia,La Paz,,,"Barrientos A.,Benavides M.,Serrano M.",La Paz,"juventud,segregación socioespacial",https://www.academia.edu/33251019/La_noche_es_Joven._Territorios_juveniles_en_el_centro_pace%C3%B1o,,https://labtecnosocial.org/explora-bib/urbana/98.png,98.png
99,¿Cómo medimos género? Indicadores para el desarrollo local y municipal,2006,"PIEB,Centro Internacional de Investigaciones para el desarrollo",libro,Bolivia,La Paz,,,Amelunge M.,Cochabamba,género,https://www.academia.edu/44305861/_C%C3%B3mo_medimos_g%C3%A9nero_Indicadores_para_el_desarrollo_local_y_municipal,,https://labtecnosocial.org/explora-bib/urbana/99.png,99.png
100,La construcción de los saberes. Una lectura crítica de los estados de la investigación social en Cochabamba,2006,PIEB,ensayo,Bolivia,La Paz,T'inkazos,20,Komadina J.,Cochabamba,investigación urbana,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_20.pdf,,https://labtecnosocial.org/explora-bib/urbana/100.jpeg,100.jpeg
101,Ser cruceño en octubre y los desafíos de la identidad,2006,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,20,Peña C.,Santa Cruz,identidad,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_20.pdf,,https://labtecnosocial.org/explora-bib/urbana/101.jpeg,101.jpeg
102,Santa Cruz y su gente,2006,PIEB,reseña,Bolivia,La Paz,T'inkazos,20,Pereira Morato R.,Santa Cruz,identidad,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_20.pdf,,https://labtecnosocial.org/explora-bib/urbana/102.jpeg,102.jpeg
103,La subjetividad política de los jóvenes en la ciudad de El Alto,2006,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,21,Samanamud J.,El Alto,"política,identidad,juventud",http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_21.pdf,,https://labtecnosocial.org/explora-bib/urbana/103.jpeg,103.jpeg
104,Análisis espacial del precio de oferta de la vivienda en el área metropolitana de Cochabamba,2006,IISEC - UCB,articulo de investigación,Bolivia,La Paz,Revista Latinoamericana de Desarrollo Económico,6,"Collazos E.,Gamboa W.,Prado P.,Verardi V.",Cochabamba,vivienda,http://www.scielo.org.bo/scielo.php?pid=S2074-47062006000100003&script=sci_arttext,,https://labtecnosocial.org/explora-bib/urbana/104.jpeg,104.jpeg
105,Bolivia: las áreas metropolitanas en perspectiva de desarrollo regional,2006,Revista Latinoamericana de Estudios Urbanos Regionales,ensayo,Chile,,Revista Latinoamericana de Estudios Urbanos Regionales,32,Blanes J.,"Cochabamba,La Paz,Santa Cruz",metropolización,https://scielo.conicyt.cl/scielo.php?pid=S0250-71612006000100002&script=sci_arttext&tlng=e,,https://labtecnosocial.org/explora-bib/urbana/105.jpeg,105.jpeg
106,La Paz. Historia de contrastes.,2007,Fundación Nuevo Norte,libro,Bolivia,La Paz,,,"Cajias F.,Barragan R.,Cajias M.,Medinaceli X.",El Alto,historia,https://jichha.blogspot.com/2021/09/la-paz-historia-de-contrastes-de.html,,https://labtecnosocial.org/explora-bib/urbana/106.png,106.png
107,Jóvenes y política en El Alto. La subjetividad de los Otros,2007,"PIEB,UPEA,CEBIAE,Centro de promoción de la mujer Gregoria Apaza,Red Habitat,Wayna Tambo, CISTEM",libro,Bolivia,La Paz,,,"Samanamud J.,Cardenas C.,Prieto P.",El Alto,"juventud,identidad,etnicidad",https://www.academia.edu/44403309/J%C3%B3venes_y_pol%C3%ADtica_en_El_Alto_La_subjetividad_de_los_Otros,,https://labtecnosocial.org/explora-bib/urbana/107.png,107.png
108,Violencia a niñas y adolescentes en las calles de El Alto,2007,"PIEB,UPEA,CEBIAE,Centro de promoción de la mujer Gregoria Apaza,Red Habitat,Wayna Tambo, CISTEM",libro,Bolivia,La Paz,,,"Moreno Valdivia A.,Moreno Valdivia I.,Colomo M.",El Alto,"género,violencia",https://www.academia.edu/44403464/Violencia_a_ni%C3%B1as_y_adolescentes_en_las_calles_de_El_Alto,,https://labtecnosocial.org/explora-bib/urbana/108.png,108.png
109,Mujeres y movimientos sociales en El Alto. Fronteras entre la participación política y la vida cotidiana,2007,"PIEB,UPEA,CEBIAE,Centro de promoción de la mujer Gregoria Apaza,Red Habitat,Wayna Tambo, CISTEM",libro,Bolivia,La Paz,,,"Flores Vasquez J.,Herbas Cuevas I.,Huanca Aliaga F.",El Alto,"género,política",https://www.academia.edu/44403355/Mujeres_y_movimientos_sociales_en_El_Alto_Fronteras_entre_la_participaci%C3%B3n_pol%C3%ADtica_y_la_vida_cotidiana,,https://labtecnosocial.org/explora-bib/urbana/109.png,109.png
110,La cosmovisión y lógica en la dinámica socioeconómica del Qhatu/Feria 16 de Julio,2007,"PIEB,UPEA,CEBIAE,Centro de promoción de la mujer Gregoria Apaza,Red Habitat,Wayna Tambo, CISTEM",libro,Bolivia,La Paz,,,"Yampara Huarachi S.,Mamani Morales S.,Calancha Layme N.",La Paz,"mercado,economía",https://www.academia.edu/44403353/Las_cosmovisi%C3%B3n_y_l%C3%B3gica_en_la_din%C3%A1mica_socioecon%C3%B3mica_del_qhatu_feria_16_de_Julio,,https://labtecnosocial.org/explora-bib/urbana/110.png,110.png
111,Casa aunque en la punta del cerro. Vivienda y desarrollo de la Ciudad de El Alto,2007,"PIEB,UPEA,CEBIAE,Centro de promoción de la mujer Gregoria Apaza,Red Habitat,Wayna Tambo, CISTEM",libro,Bolivia,La Paz,,,"Duran Chuquimia J.,Arias Diaz V.,Rodriguez Caceres G.",El Alto,vivienda,https://www.academia.edu/44403250/Casa_aunque_en_la_punta_del_cerro_vivienda_y_desarrollo_de_la_ciudad_de_El_Alto,,https://labtecnosocial.org/explora-bib/urbana/111.jpeg,111.jpeg
112,La seguridad ciudadana en la ciudad de El Alto. Fronteras entre el miedo y la acción vecinal,2007,"PIEB,UPEA,CEBIAE,Centro de promoción de la mujer Gregoria Apaza,Red Habitat,Wayna Tambo, CISTEM",libro,Bolivia,La Paz,,,"Mollericona J.,Tinini N.,Paredes A.",El Alto,inseguridad ciudadana,https://www.academia.edu/44403354/La_seguridad_ciudadana_en_la_ciudad_de_El_Alto_Fronteras_entre_el_miedo_y_la_acci%C3%B3n_vecinal,,https://labtecnosocial.org/explora-bib/urbana/112.png,112.png
113,Organizaciones juveniles en El Alto. Reconstrucción de identidades colectivas,2007,"PIEB,UPEA,CEBIAE,Centro de promoción de la mujer Gregoria Apaza,Red Habitat,Wayna Tambo, CISTEM",libro,Bolivia,La Paz,,,"Mendez Padilla A.,Perez Sanchez R.",El Alto,"juventud,identidad,etnicidad",https://www.academia.edu/44403463/Organizaciones_juveniles_en_El_Alto_Reconstrucci%C3%B3n_de_identidades_colectivas,,https://labtecnosocial.org/explora-bib/urbana/113.png,113.png
114,"¿Pitaq kaypi kamachiq? Las estructuras de poder en Cochabamba, 1940-2006",2007,"PIEB,DICyT",libro,Bolivia,Cochabamba,,,"Gordillo J.,Rivera A.,Sulcata A.",Cochabamba,élites,https://www.academia.edu/44403465/_Pitaq_kaypi_kamachiq_Las_estructuras_de_poder_en_Cochabamba_1940_2006,,https://labtecnosocial.org/explora-bib/urbana/114.jpeg,114.jpeg
115,A la conquista de un lote. Estrategias populares de acceso a la tierra urbana,2007,"PIEB,DICyT",libro,Bolivia,Cochabamba,,,"Achi A.,Delgado M.",Cochabamba,"suelo urbano,vivienda",https://www.academia.edu/44403677/A_la_conquista_de_un_lote_Estrategias_populares_de_acceso_a_la_tierra_urbana,,https://labtecnosocial.org/explora-bib/urbana/115.jpeg,115.jpeg
116,Mujeres en el municipio. Participación política de concejalas en Cochabamba,2007,PIEB,libro,Bolivia,La Paz,,,"Suarez Coronel E.,Sanchez R.",Cochabamba,"género,política",https://www.academia.edu/44403582/Mujeres_en_el_municipio_participaci%C3%B3n_pol%C3%ADtica_de_concejalas_en_Cochabamba,,https://labtecnosocial.org/explora-bib/urbana/116.png,116.png
117,Jóvenes Hiphoppers aymaras en la ciudad de El Alto y sus luchas por una ciudadanía intercultural,2007,"PIEB,iBase",informe,Bolivia,La Paz,,,Mollericona J.,El Alto,"juventud,identidad,etnicidad",http://jichha.blogspot.com/2018/02/jovenes-hiphoppers-aymaras-en-la-ciudad.html,,https://labtecnosocial.org/explora-bib/urbana/117.jpeg,117.jpeg
118,"Sucre: ¿la ""ciudad letrada""? Ensayo sobre la experiencia social del espacio urbano",2007,Instituto de Estudios Bolivianos,articulo de investigación,Bolivia,La Paz,Revista Estudios Bolivianos,13,Aillon E.,Sucre,imaginarios urbanos,https://www.ieb.edu.bo/images/pdf-revistas/Estudios_Bolivianos_13.pdf,,https://labtecnosocial.org/explora-bib/urbana/118.jpeg,118.jpeg
119,Desafiando los límites del espacio colonial: la población negra en Potosí,2007,Instituto de Estudios Bolivianos,articulo de investigación,Bolivia,La Paz,Revista Estudios Bolivianos,13,Bridikhina E.,Potosí,organización socioespacial,https://www.ieb.edu.bo/images/pdf-revistas/Estudios_Bolivianos_13.pdf,,https://labtecnosocial.org/explora-bib/urbana/119.jpeg,119.jpeg
120,discurso y cultura urbana libertaria en la primera mitad del siglo XX. El discurso anarquista-individualista en el seminario arte y trabajo (ciudad de Cochabamba 1921-1934),2007,Instituto de Estudios Bolivianos,articulo de investigación,Bolivia,La Paz,Revista Estudios Bolivianos,13,Rodriguez N.,Cochabamba,movimientos sociales,https://www.ieb.edu.bo/images/pdf-revistas/Estudios_Bolivianos_13.pdf,,https://labtecnosocial.org/explora-bib/urbana/120.jpeg,120.jpeg
121,La urbanización creciente,2007,CEDIB,ensayo,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,1,Antequera N.,Urbanización boliviana,demografía,https://cedib.org/wp-content/uploads/2007/03/VillaLibreBR.pdf,,https://labtecnosocial.org/explora-bib/urbana/121.jpeg,121.jpeg
122,Bolivia: las áreas metropolitanas en perspectiva de desarrollo regional,2007,CEDIB,ensayo,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,1,Blanes J.,"Cochabamba,La Paz,Santa Cruz",metropolización,https://cedib.org/wp-content/uploads/2007/03/VillaLibreBR.pdf,,https://labtecnosocial.org/explora-bib/urbana/122.jpeg,122.jpeg
123,"Exclusión política, des ciudadanización y profundización de la pobreza urbana en Bolivia",2007,CEDIB,ensayo,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,1,Esposito C.,"Cochabamba,La Paz,Santa Cruz",desigualdad,https://cedib.org/wp-content/uploads/2007/03/VillaLibreBR.pdf,,https://labtecnosocial.org/explora-bib/urbana/123.jpeg,123.jpeg
124,Escuela de formación política del CEDIB. Una experiencia de formación política con organizaciones populares urbanas,2007,CEDIB,ensayo,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,1,Miranda M.,Cochabamba,investigación urbana,https://cedib.org/wp-content/uploads/2007/03/VillaLibreBR.pdf,,https://labtecnosocial.org/explora-bib/urbana/124.jpeg,124.jpeg
125,Vivienda de bajo costo. Innovaciones tecnoconstructivas,2007,IIACH - UMSS,libro,Bolivia,Cochabamba,,,"Alvarez R.,Alzerreca J.,Bolivar H.,Camacho J.,Reque J.,Sejas O",Urbanización boliviana,vivienda,https://www.iiach.org/copia-de-publicaciones-en-el-tiempo?lightbox=dataItem-kcid4ync,,https://labtecnosocial.org/explora-bib/urbana/125.png,125.png
126,Subprograma Mejoramiento de Barrios en Bolivia. Lecciones aprendidas de proyectos intangibles,2007,"PROMESHA,IIACH",libro,Bolivia,Cochabamba,Cuaderno de Análisis,16,Rivas S.,La Paz,"vivienda,barrios populares",https://www.iiach.org/copia-de-publicaciones-en-el-tiempo-1?lightbox=dataItem-kcie4e43,,https://labtecnosocial.org/explora-bib/urbana/126.jpeg,126.jpeg
127,¿Qué es esa cosa llamada urbanismo?,2007,IIACH - UMSS,boletín,Bolivia,Cochabamba,Boletín. Apoyo a la investigación ASDI-UMSS-IIA,1,Lopez J.,Urbanización boliviana,investigación urbana,https://www.iiach.org/copia-de-publicaciones-en-el-tiempo-2,,https://labtecnosocial.org/explora-bib/urbana/127.jpeg,127.jpeg
128,Segregación socio-espacial urbana,2007,IIACH - UMSS,boletín,Bolivia,Cochabamba,Boletín. Apoyo a la investigación ASDI-UMSS-IIA,2,Bolivar H.,Urbanización boliviana,segregación socioespacial,https://www.iiach.org/copia-de-publicaciones-en-el-tiempo-2,,https://labtecnosocial.org/explora-bib/urbana/128.jpeg,128.jpeg
129,"Territorios urbanos. Diversidad cultural, dinámica socio económica y procesos de crecimiento urbano en la zona sur de Cochabamba",2007,"CEDIB,Plural,Cooperación Unión Europea",libro,Bolivia,Cochabamba,,,Antequera N.,Cochabamba,"segregación socioespacial,desigualdad","https://books.google.com.bo/books?hl=es&lr=&id=iyHa7Z6aqGkC&oi=fnd&pg=PA5&dq=urbano,+urbanas,+bolivia&ots=bTRDGHTd5e&sig=p0b1dwn_oDBKwstIFmcijKtJkv0#v=onepage&q=urbano%2C%20urbanas%2C%20bolivia&f=false",,https://labtecnosocial.org/explora-bib/urbana/129.jpeg,129.jpeg
130,"Más allá de lo mestizo, más allá de lo aymara: organización y representaciones de clase y etnicidad en el comercio callejero en la ciudad de La Paz",2008,CESU - UMSS,articulo de investigación,Bolivia,Cochabamba,Decursos,17 -18,Barragan R.,La Paz,"mercado,comercio",https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/130.jpeg,130.jpeg
131,Estado de la investigación sobre universidad y sociedad,2008,"CIDES - UMSA,DIPGIS - UMSA,PIEB",ensayo,Bolivia,La Paz,Estados de la investigación: La Paz. Volumen I,,Salazar de la Torre C.,La Paz,educación,https://docplayer.es/81202311-Estados-de-la-investigacion-la-paz-volumen-i.html,,https://labtecnosocial.org/explora-bib/urbana/131.png,131.png
